2026-03-10T10:51:42.872Z INFO   Release tool started
  CMD: flags: {"dryRun":false,"verbose":false,"noColor":false,"logDir":"/Users/talazzeh/ui-workspace/auto_release/release-logs","lockPath":"/tmp/release-tool-ZMac-JLQKN2HKC0.local.lock","repoOverride":null}
2026-03-10T10:51:42.901Z INFO   Engineer: 122722553+tazzeh-atypon@users.noreply.github.com
2026-03-10T10:51:45.834Z INFO   Lock acquired
2026-03-10T10:51:45.834Z INFO   Detected standing repo from CWD: ui-core (/Users/talazzeh/ui-workspace/ui-core)
2026-03-10T10:51:45.851Z INFO   Path check: ui-core → /Users/talazzeh/ui-workspace/ui-core (OK)
2026-03-10T10:51:45.851Z INFO   Path check: ui-theme-classic → /Users/talazzeh/ui-workspace/ui-theme-classic (OK)
2026-03-10T10:51:45.851Z INFO   Path check: ui-theme-photo → /Users/talazzeh/ui-workspace/ui-theme-photo (OK)
2026-03-10T10:51:45.851Z INFO   Selected repos: ui-core, ui-theme-classic, ui-theme-photo
2026-03-10T10:51:45.853Z INFO  [ui-core] Processing repo: ui-core
2026-03-10T10:51:45.919Z INFO  [ui-core] Checked out develop
2026-03-10T10:51:48.461Z INFO  [ui-core] Pulled latest changes
2026-03-10T10:51:50.978Z INFO  [ui-core] Fetched tags from remote
2026-03-10T10:52:04.772Z INFO  [ui-core] Selected tracks: v2.7, v2.8
2026-03-10T10:52:04.773Z INFO  [ui-core][v2.7] Processing track v2.7
2026-03-10T10:52:07.260Z INFO  [ui-core][v2.7] Checked out v2.7.94
2026-03-10T10:52:10.486Z INFO  [ui-core][v2.7] Cherry-picked c06bd3414d86cf7516260e5b982502dcb657c1ae
2026-03-10T10:52:12.626Z INFO  [ui-core][v2.7] Using latest remote tag v2.7.128 for parent ui-base (Scenario C)
2026-03-10T10:52:12.784Z INFO  [ui-core][v2.7] Bumped ui-base to git+ssh://git@github.com:atypon/ui-base.git#v2.7.128
2026-03-10T10:52:24.691Z INFO   ui-article upgrade mode: none
2026-03-10T10:52:27.331Z INFO  [ui-core][v2.7] npm install skipped by engineer
2026-03-10T10:52:28.584Z INFO  [ui-core][v2.7] npm build skipped by engineer
DIFF SUMMARY: ui-core v2.7.94 → v2.7.95 | 2 commits, 2 files, +2/-1
2026-03-10T10:52:30.675Z INFO  [ui-core][v2.7] Tag v2.7.95 created locally
2026-03-10T10:52:30.676Z INFO  [ui-core][v2.7] Detached HEAD — pushing tag only (no branch push)
2026-03-10T10:52:33.196Z INFO  [ui-core][v2.7] Pushed tag v2.7.95
2026-03-10T10:52:33.234Z INFO  [ui-core][v2.7] Deleted local tag v2.7.95 after push (legacy behavior)
2026-03-10T10:52:33.234Z INFO  [ui-core][v2.7] Tag v2.7.95 created and pushed
2026-03-10T10:52:33.327Z INFO  [ui-core][v2.7] Returned to develop
2026-03-10T10:52:33.327Z INFO  [ui-core][v2.8] Processing track v2.8
2026-03-10T10:52:35.821Z INFO  [ui-core][v2.8] Checked out v2.8.30
2026-03-10T10:52:35.821Z INFO  [ui-core][v2.8] Using run-wide cherry-pick SHAs
2026-03-10T10:52:35.890Z INFO  [ui-core][v2.8] Cherry-picked c06bd3414d86cf7516260e5b982502dcb657c1ae
2026-03-10T10:52:37.928Z INFO  [ui-core][v2.8] Using latest remote tag v2.8.42 for parent ui-base (Scenario C)
2026-03-10T10:52:38.086Z INFO  [ui-core][v2.8] Bumped ui-base to git+ssh://git@github.com:atypon/ui-base.git#v2.8.42
2026-03-10T10:52:39.733Z INFO  [ui-core][v2.8] npm install skipped by engineer
2026-03-10T10:52:40.582Z INFO  [ui-core][v2.8] npm build skipped by engineer
DIFF SUMMARY: ui-core v2.8.30 → v2.8.31 | 2 commits, 2 files, +2/-1
2026-03-10T10:52:42.337Z INFO  [ui-core][v2.8] Tag v2.8.31 created locally
2026-03-10T10:52:42.337Z INFO  [ui-core][v2.8] Detached HEAD — pushing tag only (no branch push)
2026-03-10T10:52:44.957Z INFO  [ui-core][v2.8] Pushed tag v2.8.31
2026-03-10T10:52:44.996Z INFO  [ui-core][v2.8] Deleted local tag v2.8.31 after push (legacy behavior)
2026-03-10T10:52:44.996Z INFO  [ui-core][v2.8] Tag v2.8.31 created and pushed
2026-03-10T10:52:45.068Z INFO  [ui-core][v2.8] Returned to develop
2026-03-10T10:52:45.068Z INFO   Head repo ui-core completed — processing children: ui-theme-classic, ui-theme-photo
2026-03-10T10:52:45.068Z WARN  [ui-core] [legacy-bug] UpgradeTheme2.sh would have created tag "test2.7.95" instead of "v2.7.95"
2026-03-10T10:52:45.068Z WARN  [ui-core] [legacy-bug] UpgradeTheme2.sh would have created tag "test2.8.31" instead of "v2.8.31"
2026-03-10T10:52:45.068Z INFO  [ui-theme-classic] Processing repo: ui-theme-classic
2026-03-10T10:52:45.114Z INFO  [ui-theme-classic] Checked out develop
2026-03-10T10:52:47.495Z INFO  [ui-theme-classic] Pulled latest changes
2026-03-10T10:52:49.825Z INFO  [ui-theme-classic] Fetched tags from remote
2026-03-10T10:52:49.941Z INFO  [ui-theme-classic] Using run-wide tracks: v2.7, v2.8
2026-03-10T10:52:49.941Z INFO  [ui-theme-classic][v2.7] Processing track v2.7
2026-03-10T10:52:52.421Z INFO  [ui-theme-classic][v2.7] Checked out v2.7.78
2026-03-10T10:52:52.421Z INFO  [ui-theme-classic][v2.7] Using run-wide cherry-pick SHAs
